Russisch;Deutsch;Grammatik;Formen;Quelle
ужин;das Abendessen;;;workbook_p_100.txt
её;ihre;Possessivpronomen, weibl.;;Frauen im Mutterschutz.txt
на репети́цию;zur Probe;;;Russisch_5_1_Vokabeln_Quizlet.txt
стирка;die Wäsche (waschen);;;workbook_p_100.txt
декрет;der Mutterschutz / die Elternzeit;;;workbook_p_100.txt
через;durch, nach;Präp. + Akkusativ;через;Frauen im Mutterschutz.txt
холо́дный;kalt;;;Antonyme.txt
спать;schlafen;unvollendeter Aspekt;спит;Frauen im Mutterschutz.txt
соба́ка;Hund;;;Bilder-Test.txt
дочь;die Tochter;;;Familie.txt
Лос-Анджелес;Los Angeles;Eigenname, männl.;;Frank und seine Hobbies.txt
в кафе́;ins Café;;;Russisch_5_1_Vokabeln_Quizlet.txt
компьютер;Computer;männl.;;МОЯ ФИРМА.txt
в порядке;in Ordnung;Präpositionalausdruck;;Das laute Büro.txt
нормальный;normal;;;Vokabeln - Einführung Psychoanalyse.txt
студент;Student;Substantiv, männl.;;Frank und seine Hobbies.txt
день (m);der Tag;;;Vokabelliste_Mutterschutz.txt
тоже;auch;Partikel;;МОЯ ФИРМА.txt
фирма;Firma;weibl.;;МОЯ ФИРМА.txt
должен;müssen, sollen;Prädikat, weibl.;;Frauen im Mutterschutz.txt
готовить;kochen;unvollendeter Aspekt;;Frank und seine Hobbies.txt
приятный;angenehm;Adjektiv;;МОЯ ФИРМА.txt
футбол;der Fußball;;;workbook_p_100.txt
интернет;Internet;männl.;;МОЯ ФИРМА.txt
дела (Pl.);die Angelegenheiten / die Aufgaben;;;Vokabelliste_Mutterschutz.txt
идти спать;schlafen gehen;Verb - Tätigkeit;;Vokabeln Homework 06-02-26.txt
контракт;der Vertrag;;;Vokabelliste_Mutterschutz.txt
обсуждать (несов.) / обсудить (сов.);besprechen / diskutieren;;;workbook_p_100.txt
никогда;niemals;Adverb;;МОЯ ФИРМА.txt
нет;nein, es gibt nicht;Negation + Genitiv;Нет;Frauen im Mutterschutz.txt
в теа́тр;ins Theater;;;Russisch_5_1_Vokabeln_Quizlet.txt
надевать пижаму;den Schlafanzug anziehen;Akkusativ - direktes Objekt;;Vokabeln Homework 06-02-26.txt
очень;sehr;Adverb;;Frank und seine Hobbies.txt
в офис;ins Büro;;;Russisch_5_1_Vokabeln_Quizlet.txt
на йо́гу;zum Yoga;;;Russisch_5_1_Vokabeln_Quizlet.txt
нельзя;darf nicht, kann nicht;Prädikat;нельзя;Frauen im Mutterschutz.txt
идти;gehen;unvollendeter Aspekt;идёт;Frauen im Mutterschutz.txt
Электроникс;Electronics;Eigenname, Firmenname;;Das laute Büro.txt
В восемь часов тридцать пять минут я иду на работу.;Um 8:35 Uhr gehe ich zur Arbeit.;;;Vokabeln Homework 06-02-26.txt
нет результата;es gibt kein Ergebnis;;;Vokabelliste_Mutterschutz.txt
де́рево;Baum;;;Bilder-Test.txt
Фрэнк;Frank;Eigenname, männl.;;Frank und seine Hobbies.txt
секретарь;Sekretär/in;Subst., männl./weibl.;;Das laute Büro.txt
ва́нна;Badewanne / Bad;;;Russisch_5_1_Vokabeln_Quizlet.txt
Андрей;Andrej;männl. Eigenname;;МОЯ ФИРМА.txt
ребёнок;Kind;männl. Subst.;ребёнок, ребёнком;Frauen im Mutterschutz.txt
Большо́й теа́тр;Bolschoi-Theater;;;Russisch_5_1_Vokabeln_Quizlet.txt
ванная;das Badezimmer;;;workbook_p_100.txt
принима́ть душ;duschen;;;Russisch_5_1_Vokabeln_Quizlet.txt
квартира;Wohnung;weibl. Subst.;квартиру;Frauen im Mutterschutz.txt
я занима́юсь;ich beschäftige mich;;;Russisch_5_1_Vokabeln_Quizlet.txt
в углу;in der Ecke;Präpositionalausdruck;;Das laute Büro.txt
трудный;schwer;Adjektiv;трудная;Frauen im Mutterschutz.txt
ещё;noch;Adverb;;МОЯ ФИРМА.txt
комфорт;der Komfort;;;Vokabelliste_Mutterschutz.txt
спасибо;danke;Interjektion;;МОЯ ФИРМА.txt
беспорядок;die Unordnung;;;Vokabelliste_Mutterschutz.txt
документ;Dokument;Subst., männl., Nom. Pl.;;Das laute Büro.txt
приходить;kommen / nach Hause kommen;;;Vokabelliste_Mutterschutz.txt
всё;alles;Pronomen;;Frauen im Mutterschutz.txt
мужчина;der Mann;;;Vokabelliste_Mutterschutz.txt
Лена;Lena;weibl. Eigenname;;МОЯ ФИРМА.txt
гру́стный;traurig;;;Antonyme.txt
Я прихожу с работы домой вечером в восемнадцать часов тридцать минут.;Ich komme nach der Arbeit abends um 18:30 Uhr nach Hause.;;;Vokabeln Homework 06-02-26.txt
машина;das Auto;;;workbook_p_100.txt
клиент;Kunde;Subst., männl., Nom. Pl.;;Das laute Büro.txt
спасибо за;danke für;Dankesformel;;МОЯ ФИРМА.txt
я иду́;ich gehe;;;Russisch_5_1_Vokabeln_Quizlet.txt
всегда и везде;immer und überall;feste Wendung;;AI: МОЯ ФИРМА
её планы рухнули;ihre Pläne sind geplatzt;;;Vokabelliste_Mutterschutz.txt
есть;essen;unvollendeter Aspekt;;МОЯ ФИРМА.txt
бухгалтер;Buchhalter;männl.;;МОЯ ФИРМА.txt
на трениро́вку;zum Training;;;Russisch_5_1_Vokabeln_Quizlet.txt
сестра;Schwester;Substantiv, weibl.;;Frank und seine Hobbies.txt
во вре́мя за́втрака;während des Frühstücks;;;Russisch_5_1_Vokabeln_Quizlet.txt
это;das ist;Demonstrativpron.;;Das laute Büro.txt
это;das, es;Pronomen;;Frauen im Mutterschutz.txt
спортзал;die Sporthalle / das Fitnessstudio;;;workbook_p_100.txt
любить;lieben, mögen;Verb, unvollendeter Aspekt, 3. Pers. Pl. Präs.;;Das laute Büro.txt
кофемашина;Kaffeemaschine;Subst., weibl., Nom. Sg.;;Das laute Büro.txt
Ты сова́ или жа́воронок?;Bist du eine Eule oder eine Lerche?;;;Russisch_5_1_Vokabeln_Quizlet.txt
всё равно;egal / trotzdem;;;Vokabeln Homework 06-02-26.txt
двор;der Hof;;;workbook_p_100.txt
ме́дленно;langsam;;;Russisch_5_1_Vokabeln_Quizlet.txt
шумно;laut, geräuschvoll;Adverb;;Das laute Büro.txt
суп;Suppe;männl.;;МОЯ ФИРМА.txt
кино;das Kino;;;workbook_p_100.txt
через час;nach einer Stunde;;;Vokabelliste_Mutterschutz.txt
женщина;Frau;weibl. Subst.;женщина, женщины;Frauen im Mutterschutz.txt
много;viel;Adverb;;МОЯ ФИРМА.txt
ничего нельзя контролировать;man kann nichts kontrollieren;;;Vokabelliste_Mutterschutz.txt
с семи до восьми;von sieben bis acht;с + Genitiv ... до + Genitiv - Zeitraum;;Vokabeln Homework 06-02-26.txt
беспорядок;Unordnung;männl. Subst.;беспорядок;Frauen im Mutterschutz.txt
считает;zählt, rechnet;НСВ, 3л. ед.ч.;;AI: МОЯ ФИРМА
Михайлович;Michajlowitsch;männl. Patronym;;МОЯ ФИРМА.txt
хобби;Hobby;Substantiv, sächl., indeklinabel;;Frank und seine Hobbies.txt
как и я;wie ich auch;Vergleichskonstruktion;;МОЯ ФИРМА.txt
с работы;von der Arbeit;Präpositionalphrase;;Frauen im Mutterschutz.txt
занима́ться;sich beschäftigen mit;;;Russisch_5_1_Vokabeln_Quizlet.txt
ручка;Kugelschreiber;Substantiv, weibl.;;Das laute Büro.txt
они;sie;Personalpronomen, 3. Pers. Pl.;;AI: МОЯ ФИРМА
последние новости;die neuesten Nachrichten;;;workbook_p_100.txt
почему;warum;Adverb;Почему;Frauen im Mutterschutz.txt
столик;Tischchen;Subst., männl., Präp. Sg.;;Das laute Büro.txt
она;sie;Personalpronomen, weibl.;она;Frauen im Mutterschutz.txt
слушать;hören;unvollendeter Aspekt;;Frank und seine Hobbies.txt
есть;es gibt, haben;Existenzverb;;Das laute Büro.txt
выходной;freier Tag;männl. Subst.;выходных;Frauen im Mutterschutz.txt
в бар;in die Bar;;;Russisch_5_1_Vokabeln_Quizlet.txt
командировка;die Dienstreise;;;Vokabelliste_Mutterschutz.txt
по́здно;spät;;;Russisch_5_1_Vokabeln_Quizlet.txt
па́па;der Papa;;;Familie.txt
ненавидеть;hassen;unvollendeter Aspekt, 3. Pers. Sg.;;Frank und seine Hobbies.txt
семья́;die Familie;;;Familie.txt
Утром я не читаю газету.;Ich lese morgens keine Zeitung.;;;Vokabeln Homework 06-02-26.txt
рухнуть;zusammenbrechen / platzen (Pläne);;;Vokabelliste_Mutterschutz.txt
маркер;Marker;Subst., männl., Nom. Pl.;;Das laute Büro.txt
стена;Wand;Subst., weibl., Präp. Sg.;;Das laute Büro.txt
но́вый;neu;;;Antonyme.txt
де́вочка;das Mädchen;;;Familie.txt
час;Stunde;männl. Subst.;час;Frauen im Mutterschutz.txt
кончать;beenden, aufhören;unvollendeter Aspekt;;AI: МОЯ ФИРМА
ребёнок;das Kind;;;Vokabelliste_Mutterschutz.txt
давно;lange, schon lange;Adverb;;AI: МОЯ ФИРМА
баланс;Bilanz;männl.;;МОЯ ФИРМА.txt
бар;die Bar;;;workbook_p_100.txt
ди-джей;der DJ;;;workbook_p_100.txt
час;die Stunde;;;Vokabelliste_Mutterschutz.txt
прекрасно;hervorragend;Adverb;;Das laute Büro.txt
гольф;Golf;Substantiv, männl.;;Frank und seine Hobbies.txt
ма́ленький;klein;;;Antonyme.txt
считать;zählen, rechnen;unvollendeter Aspekt;;МОЯ ФИРМА.txt
у;bei, haben;Präp. + Genitiv;;AI: МОЯ ФИРМА
я бре́юсь;ich rasiere mich;;;Russisch_5_1_Vokabeln_Quizlet.txt
ко́шка;die Katze;;;Familie.txt
в декрете;im Mutterschutz / in Elternzeit;;;workbook_p_100.txt
громко;laut;Adv.;;Das laute Büro.txt
домашние дела;die Hausarbeit / die Haushaltsaufgaben;;;Vokabelliste_Mutterschutz.txt
мы идём;wir gehen;;;Russisch_5_1_Vokabeln_Quizlet.txt
ко́шка;Katze;;;Bilder-Test.txt
жаворонок;die Lerche / der Frühaufsteher;;;workbook_p_100.txt
же́нщина;die Frau;;;Familie.txt
домой;nach Hause;;;workbook_p_100.txt
планировать;planen;unvollendeter Aspekt;планирует;Frauen im Mutterschutz.txt
это;das, dies;Demonstrativpronomen;это;Frauen im Mutterschutz.txt
минута;die Minute;;;workbook_p_100.txt
сидеть дома;zu Hause sitzen / zu Hause bleiben;;;Vokabelliste_Mutterschutz.txt
предпочитать;bevorzugen / vorziehen;;;workbook_p_100.txt
повар;Koch;männl.;;МОЯ ФИРМА.txt
бухгалтерия;Buchhaltung;weibl.;;МОЯ ФИРМА.txt
у;bei, haben (Konstruktion);Präp. + Genitiv;;МОЯ ФИРМА.txt
быть;sein;unvollendeter Aspekt;быть;Frauen im Mutterschutz.txt
В двадцать часов я иду покупать продукты.;Normalerweise gehe ich Samstagabend um 8:00 Uhr abends in den Supermarkt um Lebensmittel einzukaufen.;;;Vokabeln Homework 06-02-26.txt
нуль (m);die Null;;;Vokabelliste_Mutterschutz.txt
поэтому;deshalb;Adverb;;МОЯ ФИРМА.txt
высо́кий;hoch / groß (Größe);;;Antonyme.txt
на спекта́кль;zur Vorstellung;;;Russisch_5_1_Vokabeln_Quizlet.txt
Интернет;Internet;männl.;;AI: МОЯ ФИРМА
Ско́лько вре́мени?;Wie viel Uhr ist es?;;;Russisch_5_1_Vokabeln_Quizlet.txt
как и;genau wie;Vergleichspartikel;;AI: МОЯ ФИРМА
профессионал;Profi, Fachmann;Subst., männl.;;Das laute Büro.txt
восток;der Osten;;;workbook_p_100.txt
за́втра;morgen;;;Russisch_5_1_Vokabeln_Quizlet.txt
мы бу́дем;wir werden;;;Russisch_5_1_Vokabeln_Quizlet.txt
везде;überall;Adverb;;МОЯ ФИРМА.txt
В субботу в десять часов утра я изучаю русский язык.;Ich lerne die russische Sprache am Samstag um 10:00 Uhr vormittag.;;;Vokabeln Homework 06-02-26.txt
контракт;Vertrag;männl. Subst.;контракт;Frauen im Mutterschutz.txt
быть (Futur);werden (sein);;;Russisch_5_1_Vokabeln_Quizlet.txt
всё равно должна;muss trotzdem;;;Vokabelliste_Mutterschutz.txt
здра́вствуйте;Guten Tag (ohne Bild);;;Bilder-Test.txt
стадион;das Stadion;;;workbook_p_100.txt
идти на русский;zum Russischunterricht gehen;на + Akkusativ - Richtung: wohin? bei Institutionen/Kursen;;Vokabeln Homework 06-02-26.txt
в шко́лу;in die Schule;;;Russisch_5_1_Vokabeln_Quizlet.txt
трудная;schwer / schwierig;;;Vokabelliste_Mutterschutz.txt
папка;Mappe, Ordner;Substantiv, weibl.;;Das laute Büro.txt
звать;nennen, rufen;unvollendeter Aspekt;;МОЯ ФИРМА.txt
без;ohne;Präp. + Genitiv;без;Frauen im Mutterschutz.txt
план;der Plan;;;Vokabelliste_Mutterschutz.txt
у тебя есть;du hast;Besitzkonstruktion;;МОЯ ФИРМА.txt
домашний;häuslich, Haus-;Adjektiv, Pl.;;Frauen im Mutterschutz.txt
значить;bedeuten;unvollendeter Aspekt;значит;Frauen im Mutterschutz.txt
коктейль;der Cocktail;;;workbook_p_100.txt
Сергеевна;Sergeewna;weibl. Vatersname;;AI: МОЯ ФИРМА
смотреть;schauen;unvollendeter Aspekt;;Frank und seine Hobbies.txt
сахар;der Zucker;;;workbook_p_100.txt
пить кофе;Kaffee trinken;Akkusativ - direktes Objekt;;Vokabeln Homework 06-02-26.txt
Кейт;Kate;Eigenname, weibl.;;Frank und seine Hobbies.txt
Леночка;Lenochka (Kosename);weibl. Kosename;;AI: МОЯ ФИРМА
рухнуть;einstürzen;vollendeter Aspekt;рухнули;Frauen im Mutterschutz.txt
а;und, aber;Konjunktion;;Frauen im Mutterschutz.txt
коллега;Kollege;Substantiv, männl./weibl., Plural;;Das laute Büro.txt
полка;Regal;Substantiv, weibl.;;Das laute Büro.txt
ста́рый (Alter);alt (Alter);;;Antonyme.txt
продуктивно;produktiv;;;workbook_p_100.txt
по́лдень;Mittag;;;Russisch_5_1_Vokabeln_Quizlet.txt
све́тлый;hell;;;Antonyme.txt
В двадцать два часа тридцать минут я надеваю пижаму.;Um halb elf ziehe ich meinen Pyjama an.;;;Vokabeln Homework 06-02-26.txt
меня;mich, mir;Personalpron., 1. Pers. Sg., Gen./Akk.;;Das laute Büro.txt
гений;Genie;männl.;;МОЯ ФИРМА.txt
рисовать;zeichnen, malen;unvollendeter Aspekt, 3. Pers. Sg.;;Frank und seine Hobbies.txt
наконец;endlich, schließlich;Adverb;;AI: МОЯ ФИРМА
рестора́н;Restaurant;;;Bilder-Test.txt
фотографировать;fotografieren;unvollendeter Aspekt;;Frank und seine Hobbies.txt
его зовут;er heißt;feste Wendung;;Frank und seine Hobbies.txt
окей;okay;Interjektion;;МОЯ ФИРМА.txt
звать;nennen, heißen;unvollendeter Aspekt, 3. Pers. Pl.;;Frank und seine Hobbies.txt
любить;lieben;unvollendeter Aspekt;;Frank und seine Hobbies.txt
душ;die Dusche;;;workbook_p_100.txt
письмо;Brief;Subst., neutr., Nom. Pl.;;Das laute Büro.txt
разговаривать;sich unterhalten, sprechen;Verb, unvollendeter Aspekt, 3. Pers. Pl. Präs.;;Das laute Büro.txt
дя́дя;der Onkel;;;Familie.txt
привет;hallo;Interjektion;;Frank und seine Hobbies.txt
В восемь часов пятнадцать минут я принимаю душ.;Um 8:15 dusche ich.;;;Vokabeln Homework 06-02-26.txt
спорт;Sport;männl. Subst.;спортом;Frauen im Mutterschutz.txt
машина;Auto;weibl.;;МОЯ ФИРМА.txt
многие;viele;Pronomen, Nom. Pl.;Многие;Frauen im Mutterschutz.txt
ужин;Abendessen;männl. Subst.;ужином;Frauen im Mutterschutz.txt
идти в спортзал;ins Fitnessstudio gehen;в + Akkusativ - Richtung: wohin?;;Vokabeln Homework 06-02-26.txt
всё равно;trotzdem / dennoch;;;Vokabelliste_Mutterschutz.txt
вот;hier ist, da ist;Partikel;;Frank und seine Hobbies.txt
приходить с работы;von der Arbeit kommen;с + Genitiv - Herkunft: woher?;;Vokabeln Homework 06-02-26.txt
ро́вно;genau / pünktlich;;;Russisch_5_1_Vokabeln_Quizlet.txt
потому что;weil;Konjunktion;;Das laute Büro.txt
если женщина сидит дома с детьми;wenn die Frau zu Hause mit den Kindern ist;;;Vokabelliste_Mutterschutz.txt
бухгалтер;Buchhalter/in;männl., kann für beide Geschlechter verwendet werden;;AI: МОЯ ФИРМА
на футбо́л;zum Fußball;;;Russisch_5_1_Vokabeln_Quizlet.txt
Я сплю с ноля часов до семи часов.;Ich schlafe von 00:00 Uhr bis 7:00 Uhr.;;;Vokabeln Homework 06-02-26.txt
беспорядок;Unordnung / Chaos;;;Vokabeln Homework 06-02-26.txt
поздно вечером;spät am Abend;Adverbialphrase;;AI: МОЯ ФИРМА
аппетит;Appetit;männl.;;МОЯ ФИРМА.txt
а вот;und hier ist, und da ist;Redewendung;;Das laute Büro.txt
бри́ться;sich rasieren;;;Russisch_5_1_Vokabeln_Quizlet.txt
Мэгги;Maggie;Eigenname, weibl.;;Frank und seine Hobbies.txt
инженер;Ingenieur;Subst., männl., Nom. Sg.;;Das laute Büro.txt
важно;wichtig;Adverb/Prädikat;;МОЯ ФИРМА.txt
добрый;gut, freundlich;Adj., männl., Nom. Sg.;;Das laute Büro.txt
обедать;zu Mittag essen;unvollendeter Aspekt;;МОЯ ФИРМА.txt
Во ско́лько?;Um wie viel Uhr?;;;Russisch_5_1_Vokabeln_Quizlet.txt
сидеть в декрете;im Mutterschutz sein / in Elternzeit sein;;;Vokabelliste_Mutterschutz.txt
план;Plan;männl. Subst.;планы;Frauen im Mutterschutz.txt
делать;machen / tun;;;Vokabelliste_Mutterschutz.txt
висеть;hängen;Verb, unvollendeter Aspekt, 3. Pers. Pl. Präs.;;Das laute Büro.txt
молодо́й;jung;;;Antonyme.txt
уборка;das Putzen / die Reinigung;;;workbook_p_100.txt
она должна быть с ребёнком;sie muss beim Kind sein;;;Vokabelliste_Mutterschutz.txt
изучать русский язык;die russische Sprache lernen;Akkusativ - direktes Objekt;;Vokabeln Homework 06-02-26.txt
сестра́;die Schwester;;;Familie.txt
документы;Dokumente;männl. Plural;;AI: МОЯ ФИРМА
интересная;interessant;;;Vokabelliste_Mutterschutz.txt
мотивация;Motivation;weibl. Subst.;мотивацию;Frauen im Mutterschutz.txt
папка;Ordner, Mappe;Subst., weibl., Präp. Sg.;;Das laute Büro.txt
покупать продукты;Lebensmittel kaufen;Akkusativ - direktes Objekt;;Vokabeln Homework 06-02-26.txt
Лада;Lada;Automarke;;AI: МОЯ ФИРМА
есть;sein, haben, da sein;Verb, Existenzverb;;Das laute Büro.txt
концерт;das Konzert;;;workbook_p_100.txt
спорт;der Sport;;;workbook_p_100.txt
него;ihm;Personalpronomen, 3. Pers. Sg. männl., Gen.;;МОЯ ФИРМА.txt
калькулятор;Rechner;männl.;;AI: МОЯ ФИРМА
стол;Tisch;Subst., männl., Präp. Sg.;;Das laute Büro.txt
контролировать;kontrollieren;unvollendeter Aspekt;контролировать;Frauen im Mutterschutz.txt
дети;Kinder;Pl. von ребёнок;детьми;Frauen im Mutterschutz.txt
ноль;Null;männl. Subst.;нуле;Frauen im Mutterschutz.txt
английский;englisch;Adjektiv, männl.;;МОЯ ФИРМА.txt
бегать;laufen / joggen;;;workbook_p_100.txt
психологический;psychologisch;Adjektiv;психологический;Frauen im Mutterschutz.txt
важный;wichtig;Adjektiv;;AI: МОЯ ФИРМА
В воскресенье в восемнадцать часов я стираю джинсы.;Am Sonntag um 18:00 Uhr wasche ich meine Jeans.;;;Vokabeln Homework 06-02-26.txt
весь;ganz, alles;Pronomen;весь, всё;Frauen im Mutterschutz.txt
без выходных;ohne freie Tage / ohne Pause;;;Vokabelliste_Mutterschutz.txt
работать без выходных;ohne freie Tage arbeiten;;;Vokabelliste_Mutterschutz.txt
выступать;auftreten / vortragen;;;Vokabeln - Einführung Psychoanalyse.txt
весь;ganz, der ganze;Pronomen, männl. Sg.;;Frauen im Mutterschutz.txt
знать;wissen, kennen;unvollendeter Aspekt;;AI: МОЯ ФИРМА
здесь;hier;Adv.;;Das laute Büro.txt
рабо́та;Arbeit;;;Russisch_5_1_Vokabeln_Quizlet.txt
всё равно;trotzdem, egal;feste Wendung;;Frauen im Mutterschutz.txt
отдыхать;sich ausruhen;unvollendeter Aspekt;отдыхает, отдыхать;Frauen im Mutterschutz.txt
обычно;gewöhnlich;Adverb;обычно;Frauen im Mutterschutz.txt
и;und;Konjunktion;и;Frauen im Mutterschutz.txt
на вокза́л;zum Bahnhof;;;Russisch_5_1_Vokabeln_Quizlet.txt
покупать (несов.) / купить (сов.);kaufen;;;workbook_p_100.txt
с;mit;Präp. + Instrumental;с;Frauen im Mutterschutz.txt
у;bei;Präposition + Genitiv;;Frank und seine Hobbies.txt
молодая женщина;ein jugendliches weibliches Individuum;;;Vokabeln - Einführung Psychoanalyse.txt
рабочий день;Arbeitstag;Kollokation;;Frauen im Mutterschutz.txt
Клаудия;Claudia;Eigenname, weibl.;;Das laute Büro.txt
я;ich;Personalpronomen, 1. Pers. Sg.;;Frank und seine Hobbies.txt
) утром;morgens;Adverb (Instrumental;;МОЯ ФИРМА.txt
друг;Freund;männl.;;МОЯ ФИРМА.txt
да;ja;Partikel;;МОЯ ФИРМА.txt
В воскресенье в двенадцать часов и в среду в четырнадцать часов я иду в спортзал.;Sonntags um 12:00 Uhr und Mittwochs um 14:00 Uhr gehe ich in den Gym.;;;Vokabeln Homework 06-02-26.txt
кофе;Kaffee;Subst., männl., indeklinabel;;Das laute Büro.txt
меня зовут;ich heiße;feste Wendung;;Frank und seine Hobbies.txt
окно;Fenster;Subst., neutr., Präp. Sg.;;Das laute Büro.txt
просто;einfach;Adverb;;МОЯ ФИРМА.txt
он;er;Personalpronomen, männl.;он, его, он;Frauen im Mutterschutz.txt
всё равно;trotzdem;Adverbialphrase;всё равно;Frauen im Mutterschutz.txt
ты;du;Personalpronomen, 2. Pers. Sg.;;МОЯ ФИРМА.txt
на ры́нок;auf den Markt;;;Russisch_5_1_Vokabeln_Quizlet.txt
рабочий день;Arbeitстag;männl. Subst.;рабочий день;Frauen im Mutterschutz.txt
вы идёте;ihr geht / Sie gehen;;;Russisch_5_1_Vokabeln_Quizlet.txt
приходи́ть с рабо́ты;von der Arbeit kommen;;;Russisch_5_1_Vokabeln_Quizlet.txt
идти домой;nach Hause gehen;Adverb - Richtung: wohin?;;Vokabeln Homework 06-02-26.txt
